Department,SourceOfFund,DateRequested,DateNeeded,DateApproved,ApprovalLagDays,TransactionType,ModeOfPayment,TermsOfPayment,PR,PO,RR,TaxRegistration,TypeOfBusiness,Currency,Amount,ServiceFee,Less:EWT,NetTotalAmount,StudentsEnrolled,ProgramCount,AccreditationAudit,GovtFundingChange,TuitionPolicy
ACO,Special Fund,2023-07-10,2023-07-17,2023-07-16,6,Purchase Order,Fund Transfer,Net 15,PR-2023-2767,PO-2023-2798,RR-2023-9949,Non-VAT,Goods,PHP,19885.16,106.63,198.85,19579.68,593,0,0,0.94,Freeze
CHS,Project Fund,2024-03-02,2024-03-15,2024-03-14,12,Payment Only,Fund Transfer,Net 15,PR-2024-6363,,RR-2024-1037,Non-VAT,Goods,PHP,27882.42,10.19,278.82,27593.41,2821,5,0,0.97,Increase
PO,General Fund,2022-03-09,2022-04-10,2022-03-25,16,Purchase Order,Fund Transfer,Net 30,PR-2022-3076,PO-2022-4190,RR-2022-8494,Non-VAT,Services,PHP,35706.41,71.23,714.13,34921.05,537,0,0,0.95,Decrease
OAVP,General Fund,2023-12-17,2024-01-05,2023-12-23,6,Purchase Order,Cash,Net 7,PR-2023-5852,PO-2023-2104,RR-2023-4646,VAT,Services,PHP,14068.99,0.0,281.38,13787.61,258,0,0,1.06,Increase
TO,Special Fund,2025-11-07,2025-12-13,2025-11-18,11,Purchase Order,Cash,Net 15,PR-2025-1590,PO-2025-2368,RR-2025-9128,VAT,Goods,PHP,6587.8,0.0,65.88,6521.92,688,0,0,0.97,Freeze
CAS,Paid Fund,2023-06-16,2023-06-30,2023-06-29,13,Purchase Order,Cash,Net 15,PR-2023-7076,PO-2023-6648,,VAT,Goods,PHP,79952.11,0.0,799.52,79152.59,3890,2,0,0.92,Freeze
BDCCO,Project Fund,2025-06-14,2025-07-06,2025-06-18,4,Purchase Order,Cheque,Immediate,PR-2025-7124,PO-2025-8837,,VAT,Goods,USD,23704.72,38.81,237.05,23428.86,751,0,0,0.96,Freeze
CAS,General Fund,2023-03-04,2023-04-02,2023-03-10,6,Payment Only,Fund Transfer,Net 7,PR-2023-2561,,RR-2023-5190,VAT,Services,PHP,47727.55,89.78,954.55,46683.22,3917,2,0,0.97,Freeze
CEA,Special Fund,2022-10-01,2022-10-14,2022-10-05,4,Payment Only,Fund Transfer,Net 15,PR-2022-7301,,RR-2022-1098,Non-VAT,Goods,PHP,41126.35,116.96,411.26,40598.13,5018,8,0,1.1,Freeze
EVP or COO,Special Fund,2024-03-03,2024-04-04,2024-03-15,12,Purchase Order,Fund Transfer,Net 45,PR-2024-2946,PO-2024-6203,RR-2024-6892,VAT,Goods,PHP,17200.46,148.49,172.0,16879.97,384,0,0,0.9,Increase
CAS,Project Fund,2024-05-07,2024-06-04,2024-05-10,3,Purchase Order,Fund Transfer,Immediate,PR-2024-5735,PO-2024-4665,RR-2024-6852,VAT,Services,PHP,31096.4,48.16,621.93,30426.31,3824,2,0,0.92,Freeze
MARCOMM,General Fund,2025-04-22,2025-05-31,2025-05-01,9,Purchase Order,Cheque,Net 30,PR-2025-2594,PO-2025-7257,,Non-VAT,Goods,PHP,11581.23,33.1,115.81,11432.32,630,0,0,0.92,Freeze
OSS,Project Fund,2022-02-12,2022-02-27,2022-02-21,9,Payment Only,Cheque,Net 30,PR-2022-9921,,,Non-VAT,Services,PHP,19604.52,23.86,392.09,19188.57,333,0,0,1.03,Freeze
DOST,General Fund,2023-06-08,2023-06-29,2023-06-20,12,Payment Only,Fund Transfer,Net 30,PR-2023-4545,,RR-2023-1418,Non-VAT,Rental,USD,5661.64,140.96,283.08,5237.6,250,0,0,1.01,Decrease
ATYCB,Paid Fund,2023-12-07,2024-01-16,2023-12-16,9,Purchase Order,Fund Transfer,Net 15,PR-2023-3758,PO-2023-6311,RR-2023-2895,VAT,Rental,PHP,41953.08,102.88,2097.65,39752.55,965,6,0,0.9,Freeze
QAEO,Paid Fund,2024-11-16,2024-12-09,2024-12-07,21,Purchase Order,Cheque,Net 45,PR-2024-1062,PO-2024-4153,RR-2024-1751,VAT,Goods,PHP,17237.73,10.7,172.38,17054.65,496,0,0,1.06,Freeze
CEA,General Fund,2021-03-25,2021-04-29,2021-04-03,9,Purchase Order,Fund Transfer,Net 30,PR-2021-2649,PO-2021-8700,,Non-VAT,Services,PHP,58090.57,148.04,1161.81,56780.72,4902,8,0,0.9,Freeze
RO,General Fund,2025-12-15,2026-01-05,2025-12-22,7,Payment Only,Cheque,Net 15,PR-2025-9558,,,VAT,Services,PHP,9846.45,28.83,196.93,9620.69,508,0,0,0.96,Decrease
ATYCB,General Fund,2023-05-15,2023-06-28,2023-05-17,2,Payment Only,Cheque,Net 7,PR-2023-6559,,RR-2023-2442,VAT,Services,PHP,24479.92,38.11,489.6,23952.21,955,6,0,0.95,Freeze
QAEO,Paid Fund,2022-05-19,2022-06-01,2022-05-26,7,Payment Only,Fund Transfer,Net 30,PR-2022-4775,,RR-2022-6350,VAT,Goods,PHP,9041.79,62.41,90.42,8888.96,433,0,0,0.98,Freeze
CHSW,General Fund,2025-05-20,2025-06-11,2025-06-01,12,Payment Only,Fund Transfer,Net 30,PR-2025-2299,,,VAT,Goods,PHP,11548.79,96.95,115.49,11336.35,408,0,0,1.03,Increase
CAS,General Fund,2024-10-15,2024-11-02,2024-11-01,17,Payment Only,Fund Transfer,Net 45,PR-2024-3296,,RR-2024-8142,VAT,Honorarium 10%,PHP,16231.62,148.54,1623.16,14459.92,3748,2,0,0.99,Freeze
ATYCB,General Fund,2025-10-18,2025-11-14,2025-10-28,10,Payment Only,Cheque,Net 30,PR-2025-9878,,RR-2025-3755,VAT,Goods,PHP,28322.35,0.06,283.22,28039.07,865,6,0,0.91,Freeze
OSS,Paid Fund,2022-08-13,2022-09-24,2022-08-18,5,Payment Only,Fund Transfer,Net 15,PR-2022-8902,,,VAT,Goods,PHP,10523.07,94.78,105.23,10323.06,385,0,0,0.98,Freeze
LMO,General Fund,2023-10-20,2023-11-10,2023-10-27,7,Payment Only,Fund Transfer,Net 30,PR-2023-2421,,,VAT,Rental,PHP,11771.82,119.8,588.59,11063.43,598,0,0,0.96,Decrease
ATYCB,Special Fund,2023-12-06,2023-12-26,2023-12-12,6,Purchase Order,Fund Transfer,Net 15,PR-2023-7322,PO-2023-5862,,VAT,Goods,PHP,60598.17,23.41,605.98,59968.78,936,6,0,1.08,Freeze
ATYCB,Special Fund,2025-12-05,2025-12-19,2025-12-18,13,Purchase Order,Fund Transfer,Net 7,PR-2025-9239,PO-2025-7176,RR-2025-7015,VAT,Goods,PHP,56855.06,48.52,568.55,56237.99,799,6,0,0.98,Increase
CAS,Paid Fund,2021-05-08,2021-05-31,2021-05-11,3,Payment Only,Fund Transfer,Net 7,PR-2021-5552,,,VAT,Goods,PHP,61737.36,90.7,617.37,61029.29,4127,2,0,1.01,Increase
CCIS,General Fund,2022-07-04,2022-08-15,2022-07-13,9,Purchase Order,Cash,Net 30,PR-2022-4819,PO-2022-4364,RR-2022-5318,Non-VAT,Services,PHP,37210.29,0.0,744.21,36466.08,2991,3,0,0.98,Increase
OCP,General Fund,2021-12-10,2021-12-18,2021-12-17,7,Purchase Order,Cheque,Net 7,PR-2021-3039,PO-2021-2184,,VAT,Goods,PHP,20980.22,3.48,209.8,20766.94,219,0,0,0.95,Increase
HS,Paid Fund,2022-04-13,2022-05-20,2022-04-20,7,Payment Only,Cheque,Net 30,PR-2022-2897,,RR-2022-6150,VAT,Services,PHP,16915.53,37.92,338.31,16539.3,332,0,0,1.02,Freeze
ATYCB,Project Fund,2023-06-25,2023-08-07,2023-06-27,2,Payment Only,Fund Transfer,Net 7,PR-2023-1238,,RR-2023-4861,Non-VAT,Goods,PHP,37365.49,134.28,373.65,36857.56,916,6,0,1.02,Increase
CAS,Special Fund,2022-12-15,2023-01-12,2022-12-27,12,Purchase Order,Cash,Net 30,PR-2022-5000,PO-2022-4089,,VAT,Goods,PHP,31189.03,0.0,311.89,30877.14,4018,2,1,1.06,Freeze
CCIS,General Fund,2023-01-14,2023-01-26,2023-01-15,1,Payment Only,Fund Transfer,Immediate,PR-2023-6672,,RR-2023-4563,Non-VAT,Rental,PHP,22129.71,127.22,1106.49,20896.0,3087,3,0,1.0,Increase
ACO,Paid Fund,2025-03-26,2025-04-18,2025-04-02,7,Purchase Order,Cheque,Net 15,PR-2025-1930,PO-2025-3282,RR-2025-4360,VAT,Goods,PHP,11072.07,29.43,110.72,10931.92,656,0,0,0.97,Freeze
CEA,General Fund,2025-08-08,2025-08-21,2025-08-17,9,Purchase Order,Cheque,Net 7,PR-2025-9583,PO-2025-4809,RR-2025-6027,VAT,Goods,PHP,37081.07,43.73,370.81,36666.53,5155,8,0,1.01,Freeze
OSS,Others,2021-04-20,2021-05-20,2021-04-29,9,Purchase Order,Cheque,Net 7,PR-2021-5758,PO-2021-9182,RR-2021-8413,Non-VAT,Services,PHP,11320.53,9.68,226.41,11084.44,352,0,0,1.03,Freeze
ICELL,General Fund,2022-01-21,2022-02-17,2022-01-25,4,Payment Only,Fund Transfer,Net 15,PR-2022-4020,,,VAT,Services,USD,14602.32,78.77,292.05,14231.5,629,0,0,0.96,Freeze
CCIS,General Fund,2024-05-20,2024-05-29,2024-05-28,8,Purchase Order,Fund Transfer,Net 30,PR-2024-2566,PO-2024-3339,RR-2024-9109,Non-VAT,Goods,PHP,83094.48,95.61,830.94,82167.93,3174,3,0,0.98,Freeze
ATYCB,Paid Fund,2022-11-10,2022-12-18,2022-11-24,14,Purchase Order,Fund Transfer,Net 45,PR-2022-4538,PO-2022-8020,RR-2022-3603,VAT,Rental,PHP,17367.61,59.35,868.38,16439.88,984,6,0,1.08,Freeze
CAS,General Fund,2022-04-19,2022-05-05,2022-04-26,7,Payment Only,Cash,Net 30,PR-2022-3298,,RR-2022-8259,VAT,Honorarium 10%,PHP,59920.56,0.0,5992.06,53928.5,3978,2,0,0.97,Freeze
CHSW,Paid Fund,2022-06-07,2022-07-13,2022-07-11,34,Purchase Order,Cheque,Net 45,PR-2022-9066,PO-2022-3078,RR-2022-2120,VAT,Goods,PHP,12254.13,8.94,122.54,12122.65,346,0,0,0.92,Decrease
CHS,Project Fund,2022-08-21,2022-08-28,2022-08-26,5,Payment Only,Cheque,Net 15,PR-2022-1018,,RR-2022-6577,VAT,Honorarium 5%,PHP,28744.14,37.55,1437.21,27269.38,2664,5,0,1.0,Freeze
HRMO,Project Fund,2025-03-20,2025-03-27,2025-03-26,6,Payment Only,Cheque,Net 30,PR-2025-9793,,,VAT,Goods,PHP,18311.27,28.72,183.11,18099.44,671,0,0,0.97,Freeze
OVPAA,General Fund,2021-08-09,2021-08-25,2021-08-24,15,Payment Only,Cheque,Net 30,PR-2021-7196,,,VAT,Services,PHP,14580.3,35.58,291.61,14253.11,236,0,0,1.02,Freeze
MARCOMM,General Fund,2024-07-24,2024-08-19,2024-08-02,9,Purchase Order,Fund Transfer,Net 30,PR-2024-6547,PO-2024-1967,RR-2024-4630,Non-VAT,Services,PHP,9408.16,97.04,188.16,9122.96,659,0,0,0.9,Increase
LMO,General Fund,2023-10-15,2023-11-24,2023-10-19,4,Payment Only,Cheque,Net 15,PR-2023-9598,,RR-2023-6412,Non-VAT,Services,PHP,14905.12,48.66,298.1,14558.36,558,0,0,1.03,Freeze
HRMO,Paid Fund,2022-06-23,2022-07-29,2022-07-17,24,Payment Only,Cash,Net 45,PR-2022-3808,,RR-2022-1797,VAT,Honorarium 5%,PHP,19899.64,0.0,994.98,18904.66,630,0,0,0.94,Freeze
ACO,General Fund,2023-02-22,2023-03-25,2023-02-28,6,Purchase Order,Cash,Net 7,PR-2023-3184,PO-2023-9550,RR-2023-4187,VAT,Rental,PHP,12434.63,0.0,621.73,11812.9,586,0,0,0.97,Freeze
CHS,Others,2022-04-26,2022-05-24,2022-04-29,3,Payment Only,Cheque,Net 7,PR-2022-4134,,RR-2022-2054,VAT,Services,PHP,49344.36,27.0,986.89,48330.47,2683,5,0,1.01,Increase
CAS,General Fund,2024-02-11,2024-03-10,2024-02-15,4,Purchase Order,Cash,Net 7,PR-2024-8622,PO-2024-9080,,VAT,Goods,PHP,40130.78,0.0,401.31,39729.47,3789,2,0,1.05,Freeze
LMO,Paid Fund,2021-05-04,2021-06-02,2021-05-06,2,Payment Only,Fund Transfer,Net 7,PR-2021-7716,,RR-2021-3938,Non-VAT,Goods,PHP,15581.97,31.08,155.82,15395.07,617,0,0,1.02,Freeze
CHS,Paid Fund,2021-01-12,2021-02-23,2021-01-17,5,Purchase Order,Cheque,Net 7,PR-2021-5231,PO-2021-7548,RR-2021-2264,Non-VAT,Honorarium 10%,PHP,22927.3,19.08,2292.73,20615.49,2622,5,0,1.09,Freeze
OVPAA,General Fund,2024-02-15,2024-03-26,2024-02-19,4,Payment Only,Cheque,Net 15,PR-2024-6681,,,VAT,Honorarium 5%,PHP,21335.22,17.91,1066.76,20250.55,270,0,0,1.02,Freeze
BDCCO,Others,2021-12-14,2022-01-03,2021-12-16,2,Payment Only,Cash,Net 7,PR-2021-8537,,RR-2021-1949,Non-VAT,Goods,USD,15823.62,0.0,158.24,15665.38,722,0,0,1.05,Increase
OAVP,General Fund,2021-04-10,2021-04-17,2021-04-12,2,Payment Only,Cash,Net 7,PR-2021-8436,,RR-2021-8309,VAT,Services,PHP,23551.53,0.0,471.03,23080.5,263,0,0,1.03,Increase
CHS,General Fund,2023-01-23,2023-02-05,2023-01-30,7,Purchase Order,Fund Transfer,Net 7,PR-2023-2241,PO-2023-4143,RR-2023-2781,VAT,Goods,PHP,38664.04,103.56,386.64,38173.84,2754,5,0,1.09,Freeze
OCP,Others,2021-03-11,2021-03-25,2021-03-15,4,Purchase Order,Fund Transfer,Immediate,PR-2021-4022,PO-2021-3530,RR-2021-3064,VAT,Services,PHP,25363.11,116.68,507.26,24739.17,296,0,0,0.92,Freeze
OCP,General Fund,2025-05-27,2025-06-08,2025-06-05,9,Payment Only,Cheque,Net 30,PR-2025-2310,,RR-2025-1477,VAT,Services,PHP,10248.03,19.78,204.96,10023.29,261,0,0,1.07,Increase
CGC,Special Fund,2021-02-25,2021-04-01,2021-03-02,5,Payment Only,Fund Transfer,Net 15,PR-2021-2244,,RR-2021-2200,VAT,Goods,PHP,16281.61,80.58,162.82,16038.21,707,0,0,0.98,Decrease
CEA,General Fund,2023-12-14,2023-12-31,2023-12-23,9,Purchase Order,Fund Transfer,Net 30,PR-2023-2648,PO-2023-6171,RR-2023-7710,Non-VAT,Honorarium 10%,PHP,21491.73,10.67,2149.17,19331.89,5011,8,0,1.07,Increase
CEA,General Fund,2023-03-25,2023-04-09,2023-03-29,4,Payment Only,Cheque,Net 15,PR-2023-1137,,,VAT,Services,PHP,27372.62,49.1,547.45,26776.07,5070,8,0,0.99,Freeze
CHS,General Fund,2024-05-04,2024-05-13,2024-05-12,8,Purchase Order,Cash,Net 30,PR-2024-4484,PO-2024-5835,,VAT,Services,PHP,75213.52,0.0,1504.27,73709.25,2860,5,0,1.09,Freeze
IDEALS,General Fund,2022-08-14,2022-09-06,2022-08-25,11,Purchase Order,Fund Transfer,Net 30,PR-2022-4598,PO-2022-4803,RR-2022-2969,VAT,Goods,PHP,20405.48,135.51,204.05,20065.92,465,0,0,0.93,Freeze
CEA,General Fund,2021-10-14,2021-11-08,2021-10-20,6,Purchase Order,Cheque,Net 7,PR-2021-4528,PO-2021-4886,RR-2021-6578,VAT,Goods,PHP,32647.63,32.09,326.48,32289.06,4966,8,0,1.02,Freeze
CAS,General Fund,2025-12-06,2025-12-25,2025-12-24,18,Purchase Order,Fund Transfer,Net 30,PR-2025-3431,PO-2025-9566,RR-2025-4897,Non-VAT,Goods,PHP,51723.27,142.29,517.23,51063.75,3694,2,0,1.05,Freeze
CCIS,Paid Fund,2025-03-21,2025-04-06,2025-04-03,13,Purchase Order,Fund Transfer,Net 30,PR-2025-1623,PO-2025-4156,RR-2025-4389,VAT,Services,PHP,23178.64,74.34,463.57,22640.73,3251,3,1,0.94,Freeze
CHS,Paid Fund,2025-04-13,2025-05-07,2025-04-23,10,Payment Only,Cheque,Net 30,PR-2025-6710,,RR-2025-5583,VAT,Services,PHP,18567.19,16.31,371.34,18179.54,2864,5,1,1.08,Decrease
BDCCO,Project Fund,2022-03-16,2022-04-20,2022-04-02,17,Purchase Order,Cheque,Net 15,PR-2022-6168,PO-2022-7993,RR-2022-9257,VAT,Rental,USD,12683.44,14.76,634.17,12034.51,754,0,0,1.09,Decrease
CAS,General Fund,2021-03-17,2021-04-23,2021-03-26,9,Payment Only,Cheque,Net 30,PR-2021-2663,,RR-2021-4439,VAT,Goods,PHP,65523.08,1.61,655.23,64866.24,4149,2,0,1.0,Decrease
CAS,General Fund,2022-07-04,2022-07-12,2022-07-11,7,Payment Only,Fund Transfer,Net 30,PR-2022-4945,,RR-2022-5858,Non-VAT,Honorarium 10%,PHP,19657.1,32.5,1965.71,17658.89,4019,2,0,1.07,Decrease
CHS,Special Fund,2023-09-10,2023-10-13,2023-09-17,7,Payment Only,Fund Transfer,Net 15,PR-2023-8592,,RR-2023-2358,VAT,Honorarium 5%,PHP,49195.73,61.92,2459.79,46674.02,2781,5,0,1.03,Freeze
CHSW,General Fund,2022-08-23,2022-08-30,2022-08-29,6,Purchase Order,Fund Transfer,Net 30,PR-2022-8848,PO-2022-9114,RR-2022-4137,VAT,Rental,PHP,6781.36,144.36,339.07,6297.93,372,0,0,1.04,Decrease
CSCE,General Fund,2025-02-21,2025-03-09,2025-02-28,7,Payment Only,Cheque,Net 15,PR-2025-3138,,RR-2025-4989,VAT,Honorarium 5%,PHP,6819.51,48.0,340.98,6430.53,455,0,0,1.05,Freeze
CAS,Project Fund,2022-05-18,2022-05-29,2022-05-25,7,Payment Only,Cheque,Net 30,PR-2022-3470,,RR-2022-3892,VAT,Services,PHP,39404.49,29.81,788.09,38586.59,4054,2,1,1.04,Freeze
ATYCB,General Fund,2025-11-08,2025-12-04,2025-11-08,0,Payment Only,Cheque,Immediate,PR-2025-7817,,RR-2025-9396,Non-VAT,Goods,PHP,30226.31,2.6,302.26,29921.45,827,6,0,0.97,Freeze
CEA,Project Fund,2023-04-21,2023-05-22,2023-05-02,11,Payment Only,Cheque,Net 30,PR-2023-5158,,RR-2023-8925,VAT,Honorarium 10%,PHP,16859.46,10.76,1685.95,15162.75,5061,8,0,0.99,Decrease
CHS,Special Fund,2025-03-05,2025-03-18,2025-03-08,3,Purchase Order,Cash,Immediate,PR-2025-7303,PO-2025-9897,RR-2025-3113,VAT,Services,PHP,32270.23,0.0,645.4,31624.83,2881,5,0,1.04,Freeze
BDCCO,Project Fund,2021-12-06,2021-12-30,2021-12-15,9,Purchase Order,Cheque,Net 7,PR-2021-3623,PO-2021-2403,RR-2021-8485,VAT,Goods,PHP,29387.07,6.11,293.87,29087.09,682,0,0,0.98,Freeze
ATYCB,General Fund,2023-02-10,2023-03-18,2023-02-19,9,Purchase Order,Fund Transfer,Net 30,PR-2023-2622,PO-2023-3066,,VAT,Services,PHP,59469.56,91.56,1189.39,58188.61,886,6,0,0.97,Freeze
OVPAA,General Fund,2024-06-18,2024-07-27,2024-06-20,2,Payment Only,Fund Transfer,Net 7,PR-2024-6785,,RR-2024-6830,Non-VAT,Goods,PHP,12899.15,94.15,128.99,12676.01,233,0,0,0.95,Freeze
ATYCB,Project Fund,2021-09-20,2021-11-03,2021-10-02,12,Purchase Order,Cheque,Net 45,PR-2021-6527,PO-2021-2884,RR-2021-6073,VAT,Services,PHP,27305.94,48.43,546.12,26711.39,985,6,0,0.9,Decrease
CSCE,General Fund,2021-08-09,2021-08-26,2021-08-25,16,Payment Only,Cash,Net 45,PR-2021-4593,,,VAT,Goods,PHP,16799.15,0.0,167.99,16631.16,457,0,0,1.01,Freeze
CHS,General Fund,2025-11-06,2025-11-29,2025-11-13,7,Payment Only,Cash,Net 30,PR-2025-9148,,,VAT,Goods,PHP,47717.37,0.0,477.17,47240.2,2859,5,0,1.1,Freeze
ORDI,Special Fund,2024-07-20,2024-08-31,2024-07-27,7,Purchase Order,Fund Transfer,Net 15,PR-2024-5527,PO-2024-2219,,VAT,Honorarium 5%,USD,13493.98,30.1,674.7,12789.18,696,0,0,1.04,Freeze
CCIS,Paid Fund,2021-03-05,2021-03-22,2021-03-21,16,Purchase Order,Fund Transfer,Net 30,PR-2021-1027,PO-2021-9751,RR-2021-4948,VAT,Services,PHP,48473.1,105.45,969.46,47398.19,2952,3,0,1.02,Decrease
CEA,General Fund,2023-01-28,2023-03-04,2023-02-08,11,Purchase Order,Cash,Net 7,PR-2023-2430,PO-2023-4912,,VAT,Goods,PHP,144728.16,0.0,1447.28,143280.88,5005,8,0,1.05,Decrease
CAS,Project Fund,2023-03-09,2023-03-18,2023-03-11,2,Payment Only,Fund Transfer,Net 7,PR-2023-1294,,RR-2023-9836,VAT,Goods,PHP,92703.28,17.31,927.03,91758.94,3904,2,0,0.94,Freeze
OSS,Project Fund,2024-09-16,2024-09-30,2024-09-29,13,Purchase Order,Cheque,Net 30,PR-2024-6454,PO-2024-5074,,VAT,Services,PHP,10022.95,11.32,200.46,9811.17,427,0,0,0.99,Freeze
HS,Paid Fund,2022-03-08,2022-03-16,2022-03-15,7,Purchase Order,Cash,Net 30,PR-2022-5799,PO-2022-9839,RR-2022-3483,VAT,Goods,PHP,17302.99,0.0,173.03,17129.96,297,0,0,1.08,Freeze
CEA,Project Fund,2021-12-17,2022-01-24,2021-12-31,14,Purchase Order,Cheque,Net 30,PR-2021-1178,PO-2021-1162,RR-2021-3348,VAT,Goods,PHP,42497.98,46.27,424.98,42026.73,4960,8,0,0.93,Freeze
1900 STORE,Special Fund,2021-05-24,2021-06-01,2021-05-31,7,Payment Only,Fund Transfer,Net 30,PR-2021-1106,,RR-2021-2903,Non-VAT,Services,PHP,16239.05,28.3,324.78,15885.97,812,0,0,0.95,Freeze
DOST,Others,2023-02-18,2023-03-27,2023-02-24,6,Purchase Order,Cheque,Net 15,PR-2023-6828,PO-2023-4815,RR-2023-6956,Non-VAT,Rental,PHP,11062.23,14.11,553.11,10495.01,256,0,0,0.94,Freeze
CCIS,Project Fund,2024-06-04,2024-06-13,2024-06-08,4,Payment Only,Cash,Net 15,PR-2024-9623,,RR-2024-4044,VAT,Rental,PHP,15974.1,0.0,798.71,15175.39,3122,3,0,1.05,Increase
CAS,General Fund,2021-04-10,2021-05-17,2021-04-24,14,Payment Only,Fund Transfer,Net 30,PR-2021-4749,,RR-2021-3503,Non-VAT,Honorarium 10%,PHP,22650.76,121.75,2265.08,20263.93,4149,2,0,0.9,Freeze
MARCOMM,General Fund,2025-07-09,2025-07-31,2025-07-12,3,Payment Only,Cheque,Net 7,PR-2025-4950,,RR-2025-1379,Non-VAT,Rental,PHP,10491.5,10.59,524.57,9956.34,657,0,0,0.91,Freeze
CGC,General Fund,2023-03-23,2023-05-04,2023-04-28,36,Purchase Order,Fund Transfer,Net 45,PR-2023-8921,PO-2023-2567,RR-2023-2094,VAT,Services,USD,14571.3,113.25,291.43,14166.62,788,0,0,1.04,Freeze
CEA,Project Fund,2022-03-16,2022-03-29,2022-03-28,12,Purchase Order,Fund Transfer,Net 30,PR-2022-2732,PO-2022-8870,,VAT,Goods,PHP,144957.7,124.0,1449.58,143384.12,4954,8,0,1.04,Increase
CHS,General Fund,2021-06-05,2021-06-23,2021-06-14,9,Purchase Order,Fund Transfer,Net 30,PR-2021-9709,PO-2021-8835,RR-2021-6127,VAT,Services,PHP,30530.48,67.81,610.61,29852.06,2539,5,0,1.04,Freeze
CEA,General Fund,2021-12-17,2022-01-30,2021-12-23,6,Purchase Order,Fund Transfer,Net 15,PR-2021-9924,PO-2021-8876,,VAT,Services,PHP,28005.93,64.06,560.12,27381.75,4985,8,0,1.0,Freeze
ICELL,General Fund,2025-08-02,2025-09-02,2025-08-11,9,Payment Only,Cheque,Net 30,PR-2025-9829,,RR-2025-2694,VAT,Services,PHP,18657.05,40.23,373.14,18243.68,710,0,0,0.91,Freeze
CEA,General Fund,2024-03-18,2024-04-03,2024-03-18,0,Payment Only,Fund Transfer,Immediate,PR-2024-6985,,RR-2024-4171,Non-VAT,Goods,PHP,60687.83,53.37,606.88,60027.58,5066,8,0,1.08,Increase
BDCCO,Project Fund,2023-07-05,2023-08-07,2023-07-15,10,Purchase Order,Fund Transfer,Net 30,PR-2023-4738,PO-2023-1571,RR-2023-5222,VAT,Honorarium 10%,PHP,9628.82,108.41,962.88,8557.53,778,0,0,0.91,Decrease
CEA,General Fund,2024-04-19,2024-05-16,2024-04-25,6,Purchase Order,Fund Transfer,Net 15,PR-2024-1580,PO-2024-9411,,Non-VAT,Honorarium 10%,PHP,16231.37,101.48,1623.14,14506.75,5136,8,0,1.05,Decrease
CCIS,General Fund,2023-03-09,2023-04-10,2023-03-30,21,Payment Only,Cheque,Net 30,PR-2023-1390,,RR-2023-9116,VAT,Goods,PHP,50554.0,34.55,505.54,50013.91,3122,3,0,0.94,Freeze
ORDI,General Fund,2024-08-21,2024-08-30,2024-08-29,8,Payment Only,Fund Transfer,Net 15,PR-2024-8806,,RR-2024-6086,Non-VAT,Goods,PHP,11788.59,120.66,117.89,11550.04,710,0,0,1.0,Decrease
CHSW,Special Fund,2021-03-21,2021-03-28,2021-03-27,6,Purchase Order,Cheque,Net 30,PR-2021-2746,PO-2021-6797,RR-2021-3620,VAT,Honorarium 10%,PHP,12678.48,8.84,1267.85,11401.79,333,0,0,0.93,Freeze
CHSW,Paid Fund,2023-11-28,2024-01-06,2023-12-03,5,Purchase Order,Cheque,Net 7,PR-2023-2688,PO-2023-3985,RR-2023-2461,VAT,Goods,PHP,12410.66,0.75,124.11,12285.8,390,0,0,0.94,Freeze
HRMO,General Fund,2021-10-13,2021-11-26,2021-10-21,8,Payment Only,Cheque,Net 30,PR-2021-3392,,RR-2021-7705,VAT,Services,PHP,9745.39,24.6,194.91,9525.88,611,0,0,1.05,Decrease
OP,Project Fund,2021-07-19,2021-08-01,2021-07-23,4,Payment Only,Cash,Net 15,PR-2021-1148,,RR-2021-2744,Non-VAT,Goods,PHP,10982.47,0.0,109.82,10872.65,580,0,0,1.02,Freeze
IDEALS,Paid Fund,2022-09-19,2022-10-13,2022-10-12,23,Purchase Order,Cash,Net 45,PR-2022-7544,PO-2022-3045,RR-2022-2627,VAT,Goods,PHP,9197.25,0.0,91.97,9105.28,497,0,0,1.01,Freeze
CAS,Paid Fund,2021-06-08,2021-06-25,2021-06-15,7,Payment Only,Fund Transfer,Net 30,PR-2021-7897,,RR-2021-5778,VAT,Services,PHP,51712.42,51.54,1034.25,50626.63,4120,2,0,0.92,Increase
CHS,General Fund,2021-06-28,2021-07-25,2021-07-05,7,Purchase Order,Cheque,Net 15,PR-2021-5526,PO-2021-6614,RR-2021-4801,VAT,Goods,USD,52258.5,18.56,522.58,51717.36,2623,5,0,0.92,Increase
CLIR,General Fund,2022-07-04,2022-08-01,2022-07-10,6,Purchase Order,Fund Transfer,Net 15,PR-2022-5803,PO-2022-1977,RR-2022-5901,Non-VAT,Goods,PHP,16173.63,89.5,161.74,15922.39,432,0,0,1.03,Freeze
ATYCB,General Fund,2025-12-26,2026-02-01,2026-01-21,26,Purchase Order,Cheque,Net 30,PR-2025-3419,PO-2025-5279,RR-2025-3802,VAT,Rental,PHP,57184.35,35.01,2859.22,54290.12,813,6,0,0.97,Decrease
HS,General Fund,2021-11-25,2021-12-11,2021-12-05,10,Purchase Order,Cheque,Net 30,PR-2021-4892,PO-2021-1439,RR-2021-3563,Non-VAT,Rental,USD,6741.34,26.04,337.07,6378.23,320,0,0,1.1,Freeze
